item,frequency,strokes,log10_frequency,mean_rt_ms,median_rt_ms,trials
帘,0.3929,8,-0.40571797118819386,649.1055357146632,574.832499998622,28
帛,0.1483,8,-0.828858848971618,770.3375000000552,703.567500003381,26
帝,10.9933,9,1.0411280797448705,644.4137500001888,592.882500002626,28
带,577.4129,9,2.7614864822399467,685.227884616207,659.4525000008871,26
帧,0.5263,9,-0.2787666299827225,818.8371739129786,671.815000001807,23
席,4.8703,10,0.6875557136441514,625.649642857324,585.965000001015,28
帮,620.897,9,2.7930195614620352,604.1246428572819,596.214999999589,28
常,113.5656,11,2.0552467997496864,622.7182142862148,587.5600000014524,28
帽,18.384,12,1.26444001134421,615.1448275867818,582.819999999629,29
幂,0.2001,12,-0.6987529113637886,768.4100000004148,665.205000004731,27
幅,23.5656,12,1.3722785017392727,650.1270370378193,624.740000000224,27
幕,19.2068,14,1.2834550141013334,706.9031481476827,678.130000000354,27
幡,0.0815,15,-1.0888423912600234,814.373333333726,795.200000000419,21
幢,5.2409,15,0.7194058731422958,849.0885416667709,794.2425000003129,24
干,443.5211,3,2.646914285713609,619.248275861687,556.109999999404,29
平,20.7339,5,1.3166809995938267,532.3939285718225,523.312499997788,28
年,2677.1534,6,3.4276732568293733,567.6872413789448,543.635000000242,29
并,399.3403,6,2.6013431398574176,560.0196428566716,560.9024999975225,28
幸,10.8228,8,1.0343396329734185,616.3449999996392,597.860000001732,27
幻,2.1868,4,0.33980906521951953,668.93944444411,629.16500000027,27
幼,3.2765,5,0.5154101722921575,657.6935714277765,596.0974999999165,28
幽,0.7858,9,-0.10468797552421266,646.9946551729107,635.080000000075,29
广,21.1342,3,1.3249858129806877,565.8412499992183,556.914999999339,28
庄,1.9496,6,0.28994551617666786,741.9954347831944,682.780000002589,23
庆,12.639,6,1.1017127138465101,788.1172916665547,652.6575000001465,24
庇,0.4744,7,-0.3238553196437938,875.413000000344,754.4699999998554,20
床,171.7272,7,2.2348390888379024,572.3343103443028,531.505000002682,29
序,1.3121,7,0.11796693549176705,662.0662068962378,632.259999998379,29
库,8.9918,7,0.9538466385427847,602.3448148152113,600.319999997504,27
应,77.7539,7,1.8907221816988877,609.7567391308004,587.459999999031,23
底,82.9652,8,1.9188959644577908,743.9830357137603,629.6449999990871,28
店,508.4655,8,2.7062614908518277,645.7986206894914,572.455000001355,29
庙,6.7087,8,0.8266383715065672,639.5512068964629,631.909999996424,29
庚,0.2076,8,-0.6827726508235797,726.646666667057,685.434999999357,27
府,2.5649,8,0.409070437559028,676.312068965319,608.029999999329,29
庞,1.3491,8,0.13004414228760433,733.1206896557147,682.000000000698,29
废,12.5204,8,1.0976182038758306,630.3146428566564,592.3674999994695,28
度,172.1349,9,2.235868931575681,641.4260714286829,633.5825000003674,28
座,140.4967,10,2.1476661236103416,617.5285185188362,593.665000000503,27
庭,6.4789,10,0.8115012767838281,709.2161538458726,630.0099999989325,26
庵,0.0371,11,-1.4306260903849541,748.4066666670371,706.334999998886,24
康,6.0119,11,0.7790117480610143,656.8619642860825,635.6499999992666,28
庸,0.0964,11,-1.0159229660971691,725.6235185182844,658.775000003516,27
廉,0.1853,13,-0.7321245806811024,655.6779629629725,595.794999999809,27
廊,0.4596,12,-0.3376199799837524,812.7753999995673,740.004999999655,25
廖,1.7643,14,0.24657243412170007,732.7122222223467,643.595000001369,27
延,2.1868,8,0.33980906521951953,689.0813461535276,608.440000001923,26
廷,0.5189,7,-0.28491632930507277,657.9257407410919,623.354999996023,27
建,21.1342,9,1.3249858129806877,608.2227586210818,609.255000000354,29
廿,0.3113,4,-0.5068208793174847,750.5215789462977,699.85999999335,19
开,529.7924,4,2.7241057239466095,588.8841379307802,523.504999997327,29
异,10.3929,6,1.0167367485450756,666.3932692306395,602.4649999999674,26
弃,17.6353,7,1.2463828519953641,614.9462068959288,563.894999999087,29
弄,173.9511,7,2.2404271794039277,615.6375862067738,590.96499999566,29
弈,0.126,9,-0.8996294548824371,764.1073214286257,690.4450000011129,28
弊,1.3936,14,0.14413813766358796,740.777777777702,670.66999999946,27
弋,0.0222,3,-1.6536470255493614,714.3788636362706,620.6925000008196,22
式,17.8725,6,1.2521853057381562,750.5793103452128,679.725000001781,29
弑,0.1705,12,-0.7682756166714835,878.5645238092856,775.689999999013,21
弓,0.9933,3,-0.002919564528269182,588.9267241378247,558.475000005274,29
引,15.6857,4,1.195503904567321,669.6177586210343,609.589999999851,29
弗,3.6471,5,0.5619476714170958,625.8287931029225,589.605000000913,29
弘,1.9867,5,0.29813229177960976,675.0758928566781,630.54749999824,28
弛,0.0445,6,-1.3516399890190685,627.5300000004542,635.080000000075,25
弟,15.3892,7,1.1872160438330381,563.6498275861696,536.265000002459,29
张,471.4455,7,2.673431494703666,692.2276785712091,597.667500001029,28
弥,2.1127,8,0.324837832312843,666.8007142860819,626.8474999994505,28
弦,1.6308,8,0.21240070278011916,711.6360714286877,638.4799999996906,28
弯,17.9763,9,1.254700307255832,581.5258928571411,576.487499999639,28
弱,26.0044,10,1.4150468377418732,603.3451785714453,592.6125000001045,28
弹,36.1898,11,1.5585861830215348,595.4124074079597,577.864999999292,27
强,155.3299,12,2.191255062651453,582.8030357141375,568.330000000162,28
归,71.2528,5,1.8528019353564233,628.5706896554173,606.009999999544,29
当,731.0526,6,2.8639486260247655,531.6015517238442,508.600000000559,29
录,92.2832,8,1.9651226456479998,577.874310345107,558.914999993984,29
形,7.8428,7,0.8944711401657874,597.0569642856684,588.92250000278,28
彤,0.0815,7,-1.0888423912600234,642.7823214288696,595.7399999999905,28
彦,0.0667,9,-1.175874166083451,652.5855555553021,605.109999996843,27
彩,3.9807,11,0.5999594488089286,560.6494642858614,571.957500001881,28
彪,0.6375,11,-0.19551981089400725,697.262400000561,688.600000001257,25
彬,0.4818,11,-0.31713320433767545,764.7586206900546,696.145000001648,29
彭,2.3351,12,0.3683054838392831,712.6798214287327,633.667500000214,28
彰,0.2743,14,-0.5617741923954707,649.8120370369223,653.935000002151,27
影,13.9288,15,1.1439137025096093,640.8789655174018,602.18499999959,29
