log10_frequency,strokes,subject,frequency,fit_ms,lower_ms,upper_ms
3.3321085336481717,9,AA,2148.3673011394185,629.0681906769797,607.9487584228169,650.9212874259846
3.3647784502193945,9,AA,2316.2127621871587,629.4500131262133,608.2963174853707,651.3393351820164
3.3974483667906172,9,AA,2497.171483141334,629.8390112899035,608.647772702808,651.7680634581793
3.43011828336184,9,AA,2692.267963468897,630.234879351668,609.0025073857162,652.2075005182936
3.4627881999330636,9,AA,2902.6067436918347,630.6373135792637,609.35990923434,652.6576744738336
3.4954581165042864,9,AA,3129.3786587534946,631.046013157386,609.7193743805282,653.1186107156599
3.528128033075509,9,AA,3373.8675799416283,631.4606824630733,610.0803121625903,653.5903315471405
3.560797949646732,9,AA,3637.4576835375015,631.8810287564602,610.4421458267192,654.0728506901959
3.5934678662179547,9,AA,3921.641287342676,632.3067602456889,610.8043132511958,654.5661685397673
3.6261377827891774,9,AA,4228.027299450002,632.7375908565559,611.1662732079279,655.0702753631023
3.6588076993604,9,AA,4558.350327091616,633.1732446871443,611.5275110463715,655.585154462897
3.691477615931623,9,AA,4914.480497133782,633.6134580961893,611.8875419375526,656.1107830523274
3.7241475325028466,9,AA,5298.4340438173895,634.0579843446906,612.2459158011973,656.64713660874
3.7568174490740693,9,AA,5712.3847236866595,634.5065920614046,612.602216600856,657.1941864710765
3.789487365645292,9,AA,6158.67612233192,634.9590560548517,612.9560553948814,657.7518882757987
3.822157282216515,9,AA,6639.83492262099,635.4151559751616,613.307069995494,658.3201795568824
3.8548271987877376,9,AA,7158.585209537539,635.8746819472485,613.6549297730832,658.8989862609426
3.8874971153589604,9,AA,7717.863892613338,636.3374309996194,613.9993329972889,659.4882181948286
3.920167031930183,9,AA,8320.837333268644,636.8032070093301,614.3400067541533,660.087768986284
3.9528369485014068,9,AA,8970.919271196599,637.2718251131553,614.676709765124,660.6975221791533
3.9855068650726295,9,AA,9671.790151281892,637.743104367049,615.0092267669095,661.3173420272401
